Blade_Length_m,Root_Chord_mm,Applied_Load_Pa,Material_Aluminium,Material_Carbon fiber,Material_Fiberglass
1.1691871439273074,-1.1055415967851332,-0.07392212709545729,False,True,False
1.1691871439273074,-1.1055415967851332,-0.07392212709545729,True,False,False
-0.03771571432023557,-0.30151134457776363,-0.07392212709545729,False,False,True
-1.2446185725677779,-0.30151134457776363,-1.2566761606227739,True,False,False
1.1691871439273074,-0.30151134457776363,-0.07392212709545729,True,False,False
-1.2446185725677779,-1.1055415967851332,1.1088319064318592,False,False,True
-0.03771571432023557,1.3065491598369756,1.1088319064318592,True,False,False
-0.03771571432023557,-1.1055415967851332,-0.07392212709545729,False,True,False
1.1691871439273074,-1.1055415967851332,1.1088319064318592,False,True,False
-0.03771571432023557,-0.30151134457776363,-1.2566761606227739,False,True,False
1.1691871439273074,-1.1055415967851332,-1.2566761606227739,True,False,False
-1.2446185725677779,-0.30151134457776363,-0.07392212709545729,False,True,False
-0.03771571432023557,-0.30151134457776363,-1.2566761606227739,False,False,True
1.1691871439273074,-1.1055415967851332,1.1088319064318592,True,False,False
1.1691871439273074,1.3065491598369756,1.1088319064318592,False,True,False
-1.2446185725677779,-1.1055415967851332,-0.07392212709545729,False,True,False
-0.03771571432023557,1.3065491598369756,1.1088319064318592,False,False,True
-0.03771571432023557,1.3065491598369756,1.1088319064318592,False,True,False
-1.2446185725677779,1.3065491598369756,-0.07392212709545729,True,False,False
1.1691871439273074,-0.30151134457776363,-1.2566761606227739,False,False,True
-1.2446185725677779,1.3065491598369756,-0.07392212709545729,False,True,False
-0.03771571432023557,-0.30151134457776363,1.1088319064318592,False,True,False
-1.2446185725677779,-0.30151134457776363,-0.07392212709545729,False,False,True
1.1691871439273074,1.3065491598369756,1.1088319064318592,False,False,True
-1.2446185725677779,-1.1055415967851332,-1.2566761606227739,False,False,True
-1.2446185725677779,-0.30151134457776363,1.1088319064318592,False,True,False
-0.03771571432023557,-0.30151134457776363,1.1088319064318592,True,False,False
-1.2446185725677779,-1.1055415967851332,1.1088319064318592,False,True,False
1.1691871439273074,-0.30151134457776363,1.1088319064318592,True,False,False
-1.2446185725677779,-1.1055415967851332,-1.2566761606227739,False,True,False
-0.03771571432023557,-0.30151134457776363,-1.2566761606227739,True,False,False
1.1691871439273074,1.3065491598369756,-1.2566761606227739,True,False,False
1.1691871439273074,-1.1055415967851332,-0.07392212709545729,False,False,True
-0.03771571432023557,1.3065491598369756,-0.07392212709545729,True,False,False
1.1691871439273074,1.3065491598369756,-0.07392212709545729,False,True,False
-1.2446185725677779,-0.30151134457776363,-1.2566761606227739,False,True,False
-0.03771571432023557,-1.1055415967851332,-1.2566761606227739,True,False,False
-0.03771571432023557,-0.30151134457776363,1.1088319064318592,False,False,True
-1.2446185725677779,1.3065491598369756,1.1088319064318592,False,True,False
-0.03771571432023557,1.3065491598369756,-1.2566761606227739,False,False,True
-1.2446185725677779,1.3065491598369756,-1.2566761606227739,False,True,False
-0.03771571432023557,-0.30151134457776363,-0.07392212709545729,False,True,False
1.1691871439273074,1.3065491598369756,-1.2566761606227739,False,True,False
1.1691871439273074,-1.1055415967851332,-1.2566761606227739,False,False,True
-1.2446185725677779,-0.30151134457776363,1.1088319064318592,True,False,False
-0.03771571432023557,-1.1055415967851332,1.1088319064318592,False,False,True
1.1691871439273074,1.3065491598369756,-0.07392212709545729,False,False,True
1.1691871439273074,-1.1055415967851332,1.1088319064318592,False,False,True
1.1691871439273074,-0.30151134457776363,-1.2566761606227739,True,False,False
1.1691871439273074,-0.30151134457776363,-1.2566761606227739,False,True,False
-0.03771571432023557,-0.30151134457776363,-0.07392212709545729,True,False,False
-0.03771571432023557,-1.1055415967851332,1.1088319064318592,True,False,False
-1.2446185725677779,-1.1055415967851332,-0.07392212709545729,True,False,False
-0.03771571432023557,1.3065491598369756,-0.07392212709545729,False,True,False
-1.2446185725677779,1.3065491598369756,-1.2566761606227739,False,False,True
-1.2446185725677779,-1.1055415967851332,1.1088319064318592,True,False,False
-1.2446185725677779,1.3065491598369756,1.1088319064318592,False,False,True
1.1691871439273074,1.3065491598369756,-1.2566761606227739,False,False,True
1.1691871439273074,1.3065491598369756,1.1088319064318592,True,False,False
-1.2446185725677779,1.3065491598369756,1.1088319064318592,True,False,False
1.1691871439273074,-1.1055415967851332,-1.2566761606227739,False,True,False
1.1691871439273074,-0.30151134457776363,1.1088319064318592,False,True,False
-1.2446185725677779,-0.30151134457776363,1.1088319064318592,False,False,True
-0.03771571432023557,1.3065491598369756,-1.2566761606227739,False,True,False
