Max_Deformation_m
0.04374
0.076033
0.029204
0.0010748
0.032908
0.020225
0.0048933
0.013953
0.06561
0.0030398
0.038016
0.0012374
0.014602
0.11405
0.0086486
0.0028061
0.01353
0.0028162
0.00068625
0.045463
0.00039521
0.0091195
0.0059467
0.041539
0.0067417
0.0018561
0.015849
0.0042092
0.049362
0.0014031
0.0052829
0.0050107
0.21005
0.0032622
0.0057658
0.00061871
0.012125
0.043806
0.00059282
0.0045101
0.00019761
0.0060797
0.0028829
0.10503
0.0032244
0.10053
0.027693
0.31508
0.016454
0.0094662
0.010566
0.036376
0.0048752
0.0018774
0.00095008
0.0073129
0.0028502
0.013846
0.015032
0.0010294
0.02187
0.028399
0.0089201
0.00093872
