ID,Blade_Length_m,Root_Chord_mm,Material,Applied_Load_Pa,Status,Max_Deformation_m,Max_Equiv_Stress_Pa
BL0.8_C150_AL_P500,0.8,150,Aluminium,500,Updated,0.0024376,4.2995 e+6
BL0.8_C150_AL_P1000,0.8,150,Aluminium,1000,Updated,0.0048752,8.5991 e+6
BL0.8_C150_AL_P1500,0.8,150,Aluminium,1500,Updated,0.0073129,1.2899 e+7
BL0.8_C150_FBG_P500,0.8,150,Fiberglass,500,Updated,0.0067417,4.3042 e+6
BL0.8_C150_FBG_P1000,0.8,150,Fiberglass,1000,Updated,0.013483,8.6085 e+6
BL0.8_C150_FBG_P1500,0.8,150,Fiberglass,1500,Updated,0.020225,1.2913 e+7
BL0.8_C150_CBF_P500,0.8,150,Carbon fiber,500,Updated,0.0014031,4.3016 e+6
BL0.8_C150_CBF_P1000,0.8,150,Carbon fiber,1000,Updated,0.0028061,8.6032 e+6
BL0.8_C150_CBF_P1500,0.8,150,Carbon fiber,1500,Updated,0.0042092,1.2905 e+7
BL0.8_C200_AL_P500,0.8,200,Aluminium,500,Updated,0.0010748,2.3977 e+6
BL0.8_C200_AL_P1000,0.8,200,Aluminium,1000,Updated,0.0021496,4.7955 e+6
BL0.8_C200_AL_P1500,0.8,200,Aluminium,1500,Updated,0.0032244,7.1932 e+6
BL0.8_C200_FBG_P500,0.8,200,Fiberglass,500,Updated,0.0029734,2.4012 e+6
BL0.8_C200_FBG_P1000,0.8,200,Fiberglass,1000,Updated,0.0059467,4.8024 e+6
BL0.8_C200_FBG_P1500,0.8,200,Fiberglass,1500,Updated,0.0089201,7.2037 e+6
BL0.8_C200_CBF_P500,0.8,200,Carbon fiber,500,Updated,0.00061871,2.3993 e+6
BL0.8_C200_CBF_P1000,0.8,200,Carbon fiber,1000,Updated,0.0012374,4.7985 e+6
BL0.8_C200_CBF_P1500,0.8,200,Carbon fiber,1500,Updated,0.0018561,7.1978 e+6
BL0.8_C300_AL_P500,0.8,300,Aluminium,500,Updated,0.00034312,1.0643 e+6
BL0.8_C300_AL_P1000,0.8,300,Aluminium,1000,Updated,0.00068625,2.1286 e+6
BL0.8_C300_AL_P1500,0.8,300,Aluminium,1500,Updated,0.0010294,3.193 e+6
BL0.8_C300_FBG_P500,0.8,300,Fiberglass,500,Updated,0.00095008,1.069 e+6
BL0.8_C300_FBG_P1000,0.8,300,Fiberglass,1000,Updated,0.0019002,2.1381 e+6
BL0.8_C300_FBG_P1500,0.8,300,Fiberglass,1500,Updated,0.0028502,3.2071 e+6
BL0.8_C300_CBF_P500,0.8,300,Carbon fiber,500,Updated,0.00019761,1.0664 e+6
BL0.8_C300_CBF_P1000,0.8,300,Carbon fiber,1000,Updated,0.00039521,2.1329 e+6
BL0.8_C300_CBF_P1500,0.8,300,Carbon fiber,1500,Updated,0.00059282,3.1993 e+6
BL1.2_C150_AL_P500,1.2,150,Aluminium,500,Updated,0.012125,9.7093 e+6
BL1.2_C150_AL_P1000,1.2,150,Aluminium,1000,Updated,0.024251,1.9419 e+7
BL1.2_C150_AL_P1500,1.2,150,Aluminium,1500,Updated,0.036376,2.9128 e+7
BL1.2_C150_FBG_P500,1.2,150,Fiberglass,500,Updated,0.03351,9.713 e+6
BL1.2_C150_FBG_P1000,1.2,150,Fiberglass,1000,Updated,0.06702,1.9426 e+7
BL1.2_C150_FBG_P1500,1.2,150,Fiberglass,1500,Updated,0.10053,2.9139 e+7
BL1.2_C150_CBF_P500,1.2,150,Carbon fiber,500,Updated,0.0069766,9.7108 e+6
BL1.2_C150_CBF_P1000,1.2,150,Carbon fiber,1000,Updated,0.013953,1.9422 e+7
BL1.2_C150_CBF_P1500,1.2,150,Carbon fiber,1500,Updated,0.02093,2.9132 e+7
BL1.2_C200_AL_P500,1.2,200,Aluminium,500,Updated,0.0052829,5.4065 e+6
BL1.2_C200_AL_P1000,1.2,200,Aluminium,1000,Updated,0.010566,1.0813 e+7
BL1.2_C200_AL_P1500,1.2,200,Aluminium,1500,Updated,0.015849,1.622 e+7
BL1.2_C200_FBG_P500,1.2,200,Fiberglass,500,Updated,0.014602,5.4094 e+6
BL1.2_C200_FBG_P1000,1.2,200,Fiberglass,1000,Updated,0.029204,1.0819 e+7
BL1.2_C200_FBG_P1500,1.2,200,Fiberglass,1500,Updated,0.043806,1.6228 e+7
BL1.2_C200_CBF_P500,1.2,200,Carbon fiber,500,Updated,0.0030398,5.4078 e+6
BL1.2_C200_CBF_P1000,1.2,200,Carbon fiber,1000,Updated,0.0060797,1.0816 e+7
BL1.2_C200_CBF_P1500,1.2,200,Carbon fiber,1500,Updated,0.0091195,1.6223 e+7
BL1.2_C300_AL_P500,1.2,300,Aluminium,500,Updated,0.0016311,2.4128 e+6
BL1.2_C300_AL_P1000,1.2,300,Aluminium,1000,Updated,0.0032622,4.8257 e+6
BL1.2_C300_AL_P1500,1.2,300,Aluminium,1500,Updated,0.0048933,7.2385 e+6
BL1.2_C300_FBG_P500,1.2,300,Fiberglass,500,Updated,0.0045101,2.4173 e+6
BL1.2_C300_FBG_P1000,1.2,300,Fiberglass,1000,Updated,0.0090201,4.8346 e+6
BL1.2_C300_FBG_P1500,1.2,300,Fiberglass,1500,Updated,0.01353,7.2519 e+6
BL1.2_C300_CBF_P500,1.2,300,Carbon fiber,500,Updated,0.00093872,2.4148 e+6
BL1.2_C300_CBF_P1000,1.2,300,Carbon fiber,1000,Updated,0.0018774,4.8297 e+6
BL1.2_C300_CBF_P1500,1.2,300,Carbon fiber,1500,Updated,0.0028162,7.2445 e+6
BL1.6_C150_AL_P500,1.6,150,Aluminium,500,Pending,,
BL1.6_C150_AL_P1000,1.6,150,Aluminium,1000,Pending,,
BL1.6_C150_AL_P1500,1.6,150,Aluminium,1500,Pending,,
BL1.6_C150_FBG_P500,1.6,150,Fiberglass,500,Pending,,
BL1.6_C150_FBG_P1000,1.6,150,Fiberglass,1000,Pending,,
BL1.6_C150_FBG_P1500,1.6,150,Fiberglass,1500,Pending,,
BL1.6_C150_CBF_P500,1.6,150,Carbon fiber,500,Pending,,
BL1.6_C150_CBF_P1000,1.6,150,Carbon fiber,1000,Pending,,
BL1.6_C150_CBF_P1500,1.6,150,Carbon fiber,1500,Pending,,
BL1.6_C200_AL_P500,1.6,200,Aluminium,500,Pending,,
BL1.6_C200_AL_P1000,1.6,200,Aluminium,1000,Pending,,
BL1.6_C200_AL_P1500,1.6,200,Aluminium,1500,Pending,,
BL1.6_C200_FBG_P500,1.6,200,Fiberglass,500,Pending,,
BL1.6_C200_FBG_P1000,1.6,200,Fiberglass,1000,Pending,,
BL1.6_C200_FBG_P1500,1.6,200,Fiberglass,1500,Pending,,
BL1.6_C200_CBF_P500,1.6,200,Carbon fiber,500,Pending,,
BL1.6_C200_CBF_P1000,1.6,200,Carbon fiber,1000,Pending,,
BL1.6_C200_CBF_P1500,1.6,200,Carbon fiber,1500,Pending,,
BL1.6_C300_AL_P500,1.6,300,Aluminium,500,Pending,,
BL1.6_C300_AL_P1000,1.6,300,Aluminium,1000,Pending,,
BL1.6_C300_AL_P1500,1.6,300,Aluminium,1500,Pending,,
BL1.6_C300_FBG_P500,1.6,300,Fiberglass,500,Pending,,
